VaccinationDate,age_group,first_dose,second_dose
2021-01-08,60-69,9872,0
2021-01-08,20-29,5513,0
2021-01-08,0-19,1749,0
2021-01-08,80-89,2866,0
2021-01-09,50-59,9928,0
2021-01-09,90+,360,0
2021-01-09,40-49,12491,0
2021-01-09,60-69,5515,0
2021-01-09,80-89,1580,0
2021-01-09,70-79,3355,0
2021-01-09,30-39,6473,0
2021-01-09,0-19,926,0
2021-01-09,20-29,3299,0
2021-01-10,30-39,5477,952
2021-01-10,60-69,5648,1233
2021-01-10,70-79,3555,356
2021-01-10,40-49,8877,1528
2021-01-10,80-89,1789,46
2021-01-10,0-19,602,<15
2021-01-10,50-59,7451,1558
2021-01-10,20-29,3107,263
2021-01-10,90+,383,<15
2021-01-11,40-49,5013,2739
2021-01-11,90+,210,135
2021-01-11,60-69,2589,5266
2021-01-11,30-39,3037,1991
2021-01-11,50-59,4949,2790
2021-01-11,20-29,1684,695
2021-01-11,0-19,213,34
2021-01-11,70-79,1690,3773
2021-01-11,80-89,897,920
2021-01-12,50-59,7479,3822
2021-01-12,0-19,228,64
2021-01-12,20-29,2392,1170
2021-01-12,70-79,1858,9286
2021-01-12,30-39,2731,2880
2021-01-12,40-49,4230,3811
2021-01-12,90+,191,390
2021-01-12,60-69,3499,10791
2021-01-12,80-89,899,2790
2021-01-13,50-59,22596,4899
2021-01-13,20-29,3644,1673
2021-01-13,0-19,477,108
2021-01-13,30-39,4655,3391
2021-01-13,40-49,7511,4556
2021-01-13,70-79,3384,16693
2021-01-13,80-89,1600,5088
2021-01-13,90+,259,1003
2021-01-13,60-69,6939,18079
2021-01-14,0-19,753,140
2021-01-14,90+,224,1289
2021-01-14,30-39,6760,3494
2021-01-14,70-79,2624,20803
2021-01-14,20-29,5373,1752
2021-01-14,80-89,1154,7109
2021-01-14,60-69,5855,22743
2021-01-14,40-49,9769,4848
2021-01-14,50-59,22976,5254
2021-01-15,80-89,592,4293
2021-01-15,0-19,535,98
2021-01-15,20-29,3116,679
2021-01-15,50-59,11628,2549
2021-01-15,40-49,5721,1893
2021-01-15,60-69,2790,11933
2021-01-15,70-79,1331,11759
2021-01-15,90+,118,748
2021-01-15,30-39,4531,1184
2021-01-16,0-19,445,53
2021-01-16,20-29,2050,308
2021-01-16,80-89,382,3078
2021-01-16,90+,81,623
2021-01-16,40-49,7769,1158
2021-01-16,60-69,1918,9066
2021-01-16,50-59,12456,1717
2021-01-16,30-39,3204,595
2021-01-16,70-79,812,8901
2021-01-17,80-89,1077,9972
2021-01-17,30-39,6529,3967
2021-01-17,90+,205,1921
2021-01-17,70-79,2410,25433
2021-01-17,0-19,1508,253
2021-01-17,20-29,11139,2339
2021-01-17,60-69,4816,25991
2021-01-17,50-59,22612,7063
2021-01-17,40-49,17275,5756
2021-01-18,20-29,16461,4446
2021-01-18,40-49,19356,10487
2021-01-18,80-89,943,12862
2021-01-18,50-59,16956,12195
2021-01-18,90+,158,2739
2021-01-18,60-69,4351,34952
2021-01-18,70-79,2150,31692
2021-01-18,30-39,7125,7126
2021-01-18,0-19,1923,547
2021-01-19,30-39,8883,8432
2021-01-19,70-79,2096,33833
2021-01-19,40-49,24354,12546
2021-01-19,60-69,4182,38073
2021-01-19,0-19,1717,795
2021-01-19,80-89,903,15356
2021-01-19,90+,216,4123
2021-01-19,50-59,15247,14759
2021-01-19,20-29,14919,6475
2021-01-20,90+,159,3627
2021-01-20,30-39,12586,9438
2021-01-20,70-79,1927,32986
2021-01-20,50-59,13949,17709
2021-01-20,60-69,3936,38842
2021-01-20,40-49,29345,13466
2021-01-20,80-89,848,14631
2021-01-20,0-19,1846,957
2021-01-20,20-29,12529,7628
2021-01-21,50-59,12143,24203
2021-01-21,90+,229,4259
2021-01-21,70-79,2163,33795
2021-01-21,60-69,4168,41098
2021-01-21,80-89,1034,15997
2021-01-21,40-49,26178,17099
2021-01-21,20-29,9556,9086
2021-01-21,30-39,13669,11780
2021-01-21,0-19,1734,1317
2021-01-22,30-39,8110,4859
2021-01-22,40-49,15734,7956
2021-01-22,60-69,2266,18424
2021-01-22,70-79,981,14080
2021-01-22,0-19,1085,649
2021-01-22,20-29,3776,2885
2021-01-22,50-59,6108,12276
2021-01-22,90+,122,1606
2021-01-22,80-89,526,6493
2021-01-23,50-59,6522,10877
2021-01-23,40-49,14659,6862
2021-01-23,70-79,840,9690
2021-01-23,60-69,1698,12415
2021-01-23,30-39,6361,3329
2021-01-23,20-29,3469,2039
2021-01-23,80-89,400,5036
2021-01-23,90+,108,1588
2021-01-23,0-19,6462,433
2021-01-24,60-69,3959,33073
2021-01-24,50-59,9355,25507
2021-01-24,0-19,10632,1403
2021-01-24,80-89,1050,12759
2021-01-24,20-29,12075,8118
2021-01-24,40-49,20427,16188
2021-01-24,90+,242,3205
2021-01-24,70-79,2112,25201
2021-01-24,30-39,10981,10041
2021-01-25,20-29,16657,8607
2021-01-25,0-19,13087,1391
2021-01-25,50-59,11175,26428
2021-01-25,30-39,14154,10499
2021-01-25,70-79,3551,21944
2021-01-25,90+,433,2596
2021-01-25,40-49,21669,17834
2021-01-25,80-89,1804,11289
2021-01-25,60-69,5663,28742
2021-01-26,50-59,9258,23595
2021-01-26,20-29,16254,7986
2021-01-26,80-89,1088,10376
2021-01-26,0-19,12632,1348
2021-01-26,90+,280,2335
2021-01-26,30-39,14355,9814
2021-01-26,40-49,20040,16473
2021-01-26,60-69,4066,27565
2021-01-26,70-79,2300,20420
2021-01-27,0-19,14231,1508
2021-01-27,20-29,15238,10183
2021-01-27,80-89,976,10122
