date,recovered_percent_0-59,dose1_or_recovered_percent_0-59,dose2_or_recovered_percent_0-59,recovered_percent_60+,dose1_or_recovered_percent_60+,dose2_or_recovered_percent_60+
2020-12-20,4.289433143242315,4.356785638974574,4.289433143242315,3.164568614521871,3.3122653030748324,3.164568614521871
2020-12-21,4.333014943703444,4.544149232082888,4.333014943703444,3.196549107103283,4.271680080517196,3.196549107103283
2020-12-22,4.383082052835665,4.778541179144878,4.383082052835665,3.2313253357099363,6.374823647017188,3.2313253357099363
2020-12-23,4.428637070945199,5.030060655395034,4.428637070945199,3.267942658772236,9.583101207689776,3.267942658772236
2020-12-24,4.474718280427642,5.286605259256463,4.474718280427642,3.3029916421130583,13.480493604242428,3.3029916421130583
2020-12-25,4.520931037753312,5.424454244174108,4.520931037753312,3.335108512061556,15.627073362158963,3.335108512061556
2020-12-26,4.550555612048046,5.5218391125151065,4.550555612048046,3.3616339099595707,17.486442384994668,3.3616339099595707
2020-12-27,4.5904146085458475,5.9172193101183845,4.5904146085458475,3.391705119401794,22.717400865587148,3.391705119401794
2020-12-28,4.65350495415755,6.547320324391721,4.65350495415755,3.4355504429195936,28.88827216012885,3.4355504429195936
2020-12-29,4.7184106600057865,7.300287024239137,4.7184106600057865,3.47735010593112,35.85729199553501,3.47735010593112
2020-12-30,4.786434049738503,8.092915398819517,4.786434049738503,3.5203089765628683,42.401973653256455,3.5203089765628683
2020-12-31,4.8541811890004425,9.05780567410574,4.8541811890004425,3.5627905264098185,48.46851626197821,3.5627905264098185
2021-01-01,4.923362199753559,9.549097404205874,4.923362199753559,3.608817887800976,51.138307788716,3.608817887800976
2021-01-02,4.9718244251984105,10.100743284778586,4.9718244251984105,3.6427076635215765,53.40039917655346,3.6427076635215765
2021-01-03,5.031941789553182,11.063357782376986,5.031941789553182,3.684098194431849,58.78907808217964,3.684098194431849
2021-01-04,5.129655527502247,12.130973768439224,5.129655527502247,3.7413766886075126,63.34824165251182,3.7413766886075126
2021-01-05,5.226211644430916,13.011831281472,5.226211644430916,3.795791258074392,67.72390947543128,3.795791258074392
2021-01-06,5.317005965826239,13.736186325417528,5.317005965826239,3.8547744693386177,71.37050389391477,3.8547744693386177
2021-01-07,5.405550819102379,14.66659791099394,5.405550819102379,3.9100754916915497,74.81812373382137,3.9100754916915497
2021-01-08,5.499055026068177,15.36447237409786,5.499055026068177,3.9762185147277327,76.20685446284706,3.9762185147277327
2021-01-09,5.5585672703441045,15.859671075141838,5.5585672703441045,4.017336290903835,76.9852282854842,4.017336290903835
2021-01-10,5.639298181732557,16.27612523723009,5.695916373457488,4.067250407256912,77.81085686581626,4.17907984826654
2021-01-11,5.75288974435913,16.585775705402288,5.9233889039657335,4.132847920824757,78.24385500631087,4.9434749907774815
2021-01-12,5.861048381060425,16.91873645139432,6.188221021950468,4.199400075962194,78.74599647191752,6.603255736884417
2021-01-13,5.971206544978773,17.543628171075866,6.492175468510933,4.268611589757787,79.61908437599512,9.488387126249306
2021-01-14,6.079733515641104,18.252907832187574,6.805417192803228,4.3345500467433435,80.33049691139358,13.12386678931538
2021-01-15,6.177460408374494,18.68660791652289,6.987545181751106,4.395033409045502,80.7055346708771,15.158821672272914
2021-01-16,6.235986043826218,19.086302883384022,7.096519415080406,4.4352647323355505,80.96362883808528,16.676838145295086
2021-01-17,6.301628417596524,19.929642951528443,7.420008716360093,4.4764506971951965,81.58291846201789,21.040163816493347
2021-01-18,6.420508203520825,20.862185612165124,8.00118708773728,4.5415708899782405,82.14997555435696,26.735078099908694
2021-01-19,6.5214317088446325,21.820761590976453,8.671094479371128,4.6002131578247525,82.71307770305057,33.02978004376349
2021-01-20,6.619553245107702,22.8475977456383,9.422324747687949,4.65674157648145,83.24174456655523,39.25717975696189
2021-01-21,6.7043358300675475,23.768445803012103,10.352183832322805,4.706655692834528,83.80948354572972,45.82722760496114
2021-01-22,6.7924202658923925,24.31427726891418,10.817310696405071,4.749546374782733,84.11571892351891,48.64117000870768
2021-01-23,6.820597813911633,24.835443514211182,11.155296570008383,4.768707394858164,84.34278723971528,50.61946009564144
2021-01-24,6.878531484068833,25.730258253410344,12.028445379428051,4.800687887439576,84.86886293324531,55.73006554978149
2021-01-25,6.9823095775906685,26.8430083044838,12.98511391451258,4.853193173767268,85.69940109879246,60.18885537793918
2021-01-26,7.0747745565949725,27.896680219163972,13.862893208013842,4.899220535158426,86.27900490890332,64.4134852668121
2021-01-27,7.166792272932308,28.95824500443777,14.742487861751636,4.9403383113345285,86.79376128096534,68.56876726452231
2021-01-28,7.252285216245579,30.04377780674753,15.739133786392875,4.982547106447309,87.25430764961109,72.50680011646628
2021-01-29,7.333936962536621,30.591477252023438,16.355882694578664,5.016641448218537,87.44809988823873,74.05706983680402
2021-01-30,7.365153265734403,31.0588009650876,16.767785301291262,5.031779335964962,87.58509095347556,74.94372728890656
2021-01-31,7.428690874013079,32.02458576570777,17.29681810761324,5.056327262040248,88.0017919986035,76.48383689539652
2021-02-01,7.536310164557142,33.142268860902234,17.71073339632721,5.0999680195074175,88.46724795246429,77.24959581157829
2021-02-02,7.632721578858262,34.083704155741074,18.079672477441846,5.139994776746841,88.91061077285738,77.92186804262339
2021-02-03,7.723252804567131,34.882988851188735,18.64493355978856,5.170679684340946,89.30876449606177,78.7895008520176
2021-02-04,7.811232002117393,35.858744978325525,19.328929725432022,5.201091837200882,89.64207078121729,79.5183696904029
2021-02-05,7.887687608600968,36.35727183980315,19.710602637771046,5.229458329554544,89.81226973533926,79.86845039170991
